type,sequence #,sp500_return,start_date,end_date
1,120,-0.05224482860943848,2000-01-03,2000-01-31
1,121,-0.020312357247848873,2000-02-01,2000-02-29
1,122,0.09232550340647314,2000-03-01,2000-03-31
1,123,-0.031278843472577006,2000-04-03,2000-04-28
1,124,-0.022160771995820564,2000-05-01,2000-05-31
1,125,0.02365122027815622,2000-06-01,2000-06-30
1,126,-0.01647589153643586,2000-07-03,2000-07-31
1,127,0.05892974894729026,2000-08-01,2000-08-31
1,128,-0.054966414845892195,2000-09-01,2000-09-29
1,129,-0.00496190011454252,2000-10-02,2000-10-31
1,130,-0.08345755933360277,2000-11-01,2000-11-30
1,131,0.004046542228007836,2000-12-01,2000-12-29
1,132,0.034052227435842505,2001-01-02,2001-01-31
1,133,-0.09683216413483642,2001-02-01,2001-02-28
1,134,-0.06635950261497164,2001-03-01,2001-03-30
1,135,0.07400588252289801,2001-04-02,2001-04-30
1,136,0.0050781452118957016,2001-05-01,2001-05-31
1,137,-0.02532259810457217,2001-06-01,2001-06-29
1,138,-0.010832187113685299,2001-07-02,2001-07-31
1,139,-0.06625574354149089,2001-08-01,2001-08-31
1,140,-0.08525668530302191,2001-09-04,2001-09-28
1,141,0.017936663226562698,2001-10-01,2001-10-31
1,142,0.07248544718846962,2001-11-01,2001-11-30
1,143,0.0075465079830046855,2001-12-03,2001-12-31
1,144,-0.01569569132536876,2002-01-02,2002-01-31
1,145,-0.0209850032989979,2002-02-01,2002-02-28
1,146,0.036081679404814056,2002-03-01,2002-03-28
1,147,-0.06338465693442451,2002-04-01,2002-04-30
1,148,-0.009122278431218827,2002-05-01,2002-05-31
1,149,-0.07522646963446085,2002-06-03,2002-06-28
1,150,-0.08228919382648267,2002-07-01,2002-07-31
1,151,0.004869409408683721,2002-08-01,2002-08-30
1,152,-0.11654644212430774,2002-09-03,2002-09-30
1,153,0.08290459561284846,2002-10-01,2002-10-31
1,154,0.05549980116437168,2002-11-01,2002-11-29
1,155,-0.06222850346088263,2002-12-02,2002-12-31
2,97,0.03052537864355274,2000-01-06,2000-01-20
2,98,-0.025538044738532616,2000-01-21,2000-02-02
2,99,-0.01533773565424807,2000-02-03,2000-02-16
2,100,-0.006129938534049983,2000-02-17,2000-03-01
2,101,0.011447960889050266,2000-03-02,2000-03-10
2,102,0.0905919280681671,2000-03-13,2000-03-23
2,103,-0.021590094517403492,2000-03-24,2000-04-04
2,104,-0.06444438336219455,2000-04-05,2000-04-17
2,105,0.04657176189660983,2000-04-18,2000-05-01
2,106,-0.0015069045154102578,2000-05-02,2000-05-16
2,107,0.007623106633847637,2000-05-17,2000-06-02
2,108,0.005897487323120022,2000-06-05,2000-06-19
2,109,-0.019933818983931467,2000-06-20,2000-07-06
2,110,0.02635556460090394,2000-07-07,2000-07-20
2,111,-0.022067412445392044,2000-07-21,2000-08-04
2,112,0.0289965693698495,2000-08-07,2000-08-23
2,113,-0.011155913888632766,2000-08-24,2000-09-11
2,114,-0.03431163199661453,2000-09-12,2000-09-25
2,115,-0.026047649126856854,2000-09-26,2000-10-09
2,116,-0.003644806511128875,2000-10-10,2000-10-20
2,117,0.02108076171900517,2000-10-23,2000-11-03
2,118,-0.06073538747960378,2000-11-06,2000-11-20
2,119,0.02495068196445009,2000-11-21,2000-12-05
2,120,-0.03986824943779096,2000-12-06,2000-12-18
2,121,0.018591515559781842,2000-12-19,2001-01-03
2,122,-0.015637631288044327,2001-01-04,2001-01-16
2,123,0.034873661777749095,2001-01-17,2001-01-30
2,124,-0.04299496156657329,2001-01-31,2001-02-14
2,125,-0.06412978715711082,2001-02-15,2001-03-02
2,126,-0.07708173233450488,2001-03-05,2001-03-20
2,127,0.0076880139180291246,2001-03-21,2001-04-05
2,128,0.06140274378520195,2001-04-06,2001-04-23
2,129,0.029646618418481083,2001-04-24,2001-05-08
2,130,0.02503249689791408,2001-05-09,2001-05-24
2,131,-0.058351893206779235,2001-05-25,2001-06-14
2,132,-0.0005168274581636693,2001-06-15,2001-07-05
2,133,-0.013469024871393264,2001-07-06,2001-07-26
2,134,-0.03870548801317068,2001-07-27,2001-08-21
2,135,-0.16163560297963692,2001-08-22,2001-09-20
2,136,0.10855165394086139,2001-09-21,2001-10-11
2,137,-0.012221596054990777,2001-10-12,2001-11-01
2,138,0.06544432830117536,2001-11-02,2001-11-26
2,139,-0.030109742723639355,2001-11-27,2001-12-14
2,140,0.028138987641431974,2001-12-17,2002-01-09
2,141,-0.02892913203198591,2002-01-10,2002-02-01
2,142,-0.011490669247328751,2002-02-04,2002-02-26
2,143,0.05345181338063376,2002-02-27,2002-03-19
2,144,-0.05962566196219595,2002-03-20,2002-04-15
2,145,-0.04932089151077975,2002-04-16,2002-05-07
2,146,0.0166783179509519,2002-05-08,2002-05-31
2,147,-0.08913288248395802,2002-06-03,2002-06-25
2,148,-0.07452259454793259,2002-06-26,2002-07-17
2,149,-0.0006401614808956644,2002-07-18,2002-08-08
2,150,-0.0027644691514825677,2002-08-09,2002-09-09
2,151,-0.1396352471777483,2002-09-10,2002-10-07
2,152,0.12040725427829838,2002-10-08,2002-10-31
2,153,0.05183014273334065,2002-11-01,2002-11-25
2,154,-0.04061487191638031,2002-11-26,2002-12-20
