PERMNO,date,vwretd
10107,1990-01-02,0.014433
10107,1990-01-03,0.000022
10107,1990-01-04,-0.006486
10107,1990-01-05,-0.007631
10107,1990-01-08,0.003075
10107,1990-01-09,-0.009269
10107,1990-01-10,-0.006844
10107,1990-01-11,0.002619
10107,1990-01-12,-0.022550
10107,1990-01-15,-0.008903
10107,1990-01-16,0.008722
10107,1990-01-17,-0.006947
10107,1990-01-18,0.000333
10107,1990-01-19,0.003150
10107,1990-01-22,-0.022214
10107,1990-01-23,-0.000081
10107,1990-01-24,-0.004773
10107,1990-01-25,-0.009855
10107,1990-01-26,-0.003405
10107,1990-01-29,-0.002976
10107,1990-01-30,-0.008592
10107,1990-01-31,0.016312
10107,1990-02-01,0.001097
10107,1990-02-02,0.007203
10107,1990-02-05,0.004264
10107,1990-02-06,-0.004798
10107,1990-02-07,0.010520
10107,1990-02-08,-0.000555
10107,1990-02-09,0.002516
10107,1990-02-12,-0.008742
10107,1990-02-13,0.001495
10107,1990-02-14,0.002070
10107,1990-02-15,0.007679
10107,1990-02-16,-0.004366
10107,1990-02-20,-0.012805
10107,1990-02-21,-0.001966
10107,1990-02-22,-0.003193
10107,1990-02-23,-0.005441
10107,1990-02-26,0.009423
10107,1990-02-27,0.005183
10107,1990-02-28,0.005599
10107,1990-03-01,0.002961
10107,1990-03-02,0.008011
10107,1990-03-05,-0.003227
10107,1990-03-06,0.010611
10107,1990-03-07,-0.001645
10107,1990-03-08,0.008561
10107,1990-03-09,-0.004731
10107,1990-03-12,0.001731
10107,1990-03-13,-0.006391
10107,1990-03-14,0.002619
10107,1990-03-15,0.002671
10107,1990-03-16,0.008939
10107,1990-03-19,0.003920
10107,1990-03-20,-0.005080
10107,1990-03-21,-0.004066
10107,1990-03-22,-0.011574
10107,1990-03-23,0.004461
10107,1990-03-26,0.001730
10107,1990-03-27,0.007776
10107,1990-03-28,0.001340
10107,1990-03-29,-0.003040
10107,1990-03-30,-0.001393
10107,1990-04-02,-0.004029
10107,1990-04-03,0.012721
10107,1990-04-04,-0.005988
10107,1990-04-05,-0.000996
10107,1990-04-06,-0.002248
10107,1990-04-09,0.002047
10107,1990-04-10,0.001632
10107,1990-04-11,-0.000101
10107,1990-04-12,0.006810
10107,1990-04-16,0.000896
10107,1990-04-17,-0.000704
10107,1990-04-18,-0.010032
10107,1990-04-19,-0.007279
10107,1990-04-20,-0.008564
10107,1990-04-23,-0.010963
10107,1990-04-24,-0.002231
10107,1990-04-25,0.004541
10107,1990-04-26,0.002074
10107,1990-04-27,-0.010253
10107,1990-04-30,0.004452
10107,1990-05-01,0.004264
